                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3936,                 1.4507,                 1.5391,                0.64631,                0.71938,                0.73133,                0.38914,                 1.5431,                 1.3894,                 1.7067,             0.00062103,             0.00062103,             0.00062103
                     35,                 1.4057,                 1.4406,                  1.538,                0.79225,                0.61484,                0.71959,                0.38316,                 1.6043,                 1.4039,                 1.7332,             0.00061203,             0.00061203,             0.00061203
                     36,                 1.3891,                 1.4121,                  1.519,                 0.6181,                0.66274,                0.70953,                0.37722,                 1.5526,                 1.3831,                 1.6823,             0.00060303,             0.00060303,             0.00060303
                     37,                 1.3988,                 1.4117,                 1.5339,                0.66183,                0.66015,                0.69742,                0.37567,                 1.5842,                  1.344,                 1.6956,             0.00059403,             0.00059403,             0.00059403
                     38,                 1.3865,                  1.401,                 1.5242,                0.65024,                0.71412,                0.71651,                 0.3764,                 1.5696,                 1.4131,                 1.7142,             0.00058503,             0.00058503,             0.00058503
                     39,                  1.412,                 1.4152,                 1.5297,                0.66368,                0.68656,                0.72785,                0.39024,                  1.529,                 1.3643,                 1.6789,             0.00057603,             0.00057603,             0.00057603
                     40,                 1.3864,                 1.4049,                 1.5097,                0.76043,                0.65927,                0.74626,                0.39655,                 1.5409,                 1.3692,                 1.6863,             0.00056703,             0.00056703,             0.00056703
                     41,                 1.3498,                 1.3746,                 1.5032,                0.60164,                0.69296,                  0.714,                0.36694,                 1.6208,                 1.3921,                  1.753,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.3572,                 1.3806,                 1.4951,                0.65693,                 0.6817,                0.71715,                0.39207,                 1.5226,                 1.3859,                 1.6593,             0.00054904,             0.00054904,             0.00054904
                     43,                 1.3597,                 1.3689,                 1.5015,                0.79383,                0.61806,                0.73749,                0.38036,                  1.595,                 1.3437,                 1.7044,             0.00054004,             0.00054004,             0.00054004
                     44,                  1.362,                 1.3675,                 1.5032,                0.62703,                0.70793,                0.73254,                0.38597,                 1.6249,                 1.3379,                 1.7302,             0.00053104,             0.00053104,             0.00053104
                     45,                 1.3754,                 1.3724,                 1.5148,                0.73777,                0.68525,                0.74094,                  0.409,                 1.5225,                 1.3244,                 1.6817,             0.00052204,             0.00052204,             0.00052204
                     46,                  1.352,                 1.3866,                 1.5166,                0.70809,                0.66009,                0.73594,                0.40995,                  1.552,                 1.3448,                 1.6982,             0.00051304,             0.00051304,             0.00051304
                     47,                 1.3431,                 1.3298,                 1.4972,                0.65997,                0.72061,                 0.7484,                0.41447,                 1.5012,                 1.3153,                 1.6382,             0.00050404,             0.00050404,             0.00050404
                     48,                 1.3359,                 1.3368,                 1.4797,                0.71014,                0.69272,                0.73925,                0.39786,                 1.5452,                 1.3294,                 1.6723,             0.00049504,             0.00049504,             0.00049504
                     49,                 1.3384,                 1.3221,                 1.4944,                0.63786,                0.68651,                0.72063,                0.39462,                 1.5107,                 1.3165,                  1.633,             0.00048604,             0.00048604,             0.00048604
                     50,                 1.3352,                 1.3231,                 1.4872,                0.68867,                 0.6832,                0.74264,                0.39275,                 1.5764,                 1.3423,                 1.6766,             0.00047704,             0.00047704,             0.00047704
                     51,                 1.3583,                 1.3504,                 1.5097,                 0.7032,                0.63957,                 0.7208,                0.39011,                 1.5492,                 1.3662,                 1.6462,             0.00046804,             0.00046804,             0.00046804
                     52,                 1.3383,                 1.3425,                 1.4932,                0.68513,                 0.6885,                0.73778,                0.43165,                 1.4727,                 1.2747,                 1.6287,             0.00045904,             0.00045904,             0.00045904
                     53,                 1.3163,                 1.3025,                 1.4749,                0.71097,                0.70873,                 0.7696,                0.42283,                 1.5236,                 1.2638,                 1.6523,             0.00045005,             0.00045005,             0.00045005
                     54,                 1.3098,                 1.2949,                 1.4827,                0.68797,                0.67422,                0.73902,                0.40167,                 1.5545,                 1.2961,                   1.69,             0.00044105,             0.00044105,             0.00044105
                     55,                 1.3113,                 1.3125,                 1.4668,                0.69336,                0.69014,                0.72963,                0.39267,                 1.5932,                 1.3035,                    1.7,             0.00043205,             0.00043205,             0.00043205
                     56,                 1.3101,                 1.3161,                 1.4669,                0.65338,                 0.6647,                0.69629,                0.37707,                 1.5659,                 1.3535,                 1.6787,             0.00042305,             0.00042305,             0.00042305
                     57,                 1.3232,                 1.3204,                 1.4837,                0.69385,                0.70781,                0.73887,                0.40994,                 1.5071,                 1.2986,                 1.6607,             0.00041405,             0.00041405,             0.00041405
                     58,                 1.2985,                 1.2896,                 1.4669,                0.65386,                0.72533,                0.75267,                0.41305,                  1.598,                 1.2773,                 1.7194,             0.00040505,             0.00040505,             0.00040505
